code	inn	target	inn_stem	resolved_by	support	confidence	n_abstracts	dois	ncts	spellings	target_how	target_votes	venues
MCLA-158	petosemtamab	IGG1	mab	code(inn)+inn(code)	ctgov+repeat+trial	high	3	10.1158/1538-7445.am2023-ct012;10.1158/1538-7445.am2023-ct156;10.1200/jco.2024.42.16_suppl.6014	NCT06496178;NCT07775287	MCLA-158	X bispecific	11/20	aacr-2023|asco-2024
MDX-1097	kappamab		mab	inn(code)	none	unsupported	1	10.1158/1538-7445.am2023-4074		MDX-1097		0/0	aacr-2023
MEDI4736	durvalumab	PD-L1	umab	inn(code)	cooc+ctgov+repeat+trial	high	6	10.1200/jco.2023.41.16_suppl.e16217;10.1200/jco.2023.41.16_suppl.tps5629;10.1200/jco.2023.41.16_suppl.tps8612;10.1200/jco.2023.41.4_suppl.tps282	NCT01975831;NCT02027961;NCT02087423;NCT02205333	MEDI-4736|MEDI4736	X inhibitor+anti-X	30/39	asco-2023|asco-2024
MEDI5752	volrustomig	PD-1/CTLA	mig	code(inn)+inn(code)	ctgov+repeat+trial	high	5	10.1158/1538-7445.am2024-3627;10.1200/jco.2023.41.16_suppl.tps8604;10.1200/jco.2024.42.16_suppl.tps6120;10.1200/jco.2024.42.16_suppl.tps8652	NCT05489211;NCT05984277;NCT06097728;NCT06129864	MEDI5752	anti-X	3/6	aacr-2024|asco-2023|asco-2024
MEDI9447	oleclumab	CD73	umab	inn(code)	ctgov+repeat+trial	high	2	10.1158/1538-7445.am2024-lb131;10.1200/jco.2023.41.16_suppl.tps8610	NCT02503774;NCT03381274;NCT03611556;NCT03616886	MEDI9447	X-directed+anti-X	6/8	aacr-2024|asco-2023
MGD013	tebotelimab	LAG-3	limab	inn(code)	cooc+ctgov+trial	high	1	10.1200/jco.2023.41.4_suppl.402	NCT03219268;NCT04634825	MGD013	targeting X	1/1	asco-2023
MGD019	lorigerlimab	CTLA-4	limab	inn(code)	ctgov+trial	high	1	10.1200/jco.2023.41.6_suppl.155	NCT03761017;NCT05293496;NCT05475171;NCT07565155	MGD019	targeting X	1/1	asco-2023
MK-1026	nemtabrutinib	BTK	tinib	inn(code)	ctgov+trial	high	1	10.1200/jco.2023.41.16_suppl.tps7593	NCT03162536;NCT04728893;NCT05347225;NCT06136559	MK-1026	X inhibitor	2/2	asco-2023
MK-2870	sacituzumab tirumotecan	TROP2	tecan	inn(code)	ctgov+repeat+trial	high	2	10.1200/jco.2024.42.16_suppl.104;10.1200/jco.2024.42.16_suppl.8502	NCT06049212;NCT06074588;NCT06132958;NCT06170788	MK-2870	X bispecific+X-directed+anti-X+targeting X	28/54	asco-2024
MK-3475	pembrolizumab	PD-1	zumab	inn(code)	ctgov+trial	high	1	10.1200/jco.2023.41.6_suppl.165	NCT01840579;NCT01848834;NCT01866319;NCT01905657	MK-3475	X inhibitor+X-directed+anti-X	20/37	asco-2023
MK-5890	boserolimab	CD27	olimab	inn(code)	ctgov+trial	high	1	10.1158/1538-7445.am2024-ct095	NCT03396445;NCT04165070;NCT04165096;NCT04924101	MK-5890	anti-X	6/13	aacr-2024
MLN8237	alisertib	AURKA	sertib	inn(code)	ctgov+trial	high	1	10.1158/1538-7445.am2023-1572	NCT01154816;NCT01898078;NCT02038647;NCT02109328	MLN8237	X inhibitor	10/12	aacr-2023
MORAB-202	farletuzumab ecteribulin	FOLR1	bulin	code(inn)+inn(code)	ctgov+repeat+trial	high	2	10.1158/1538-7445.am2023-ct056;10.1200/jco.2023.41.16_suppl.e17634	NCT03386942;NCT04300556;NCT05613088	MORAB-202	X bispecific+anti-X	2/3	aacr-2023|asco-2023
MRTX849	adagrasib	G12C	rasib	code(inn)+inn(code)	ctgov+repeat+trial	high	8	10.1158/1538-7445.am2023-1079;10.1158/1538-7445.am2023-26;10.1158/1538-7445.am2023-2692;10.1158/1538-7445.am2023-lb316	NCT03785249;NCT03994796;NCT04330664;NCT04613596	MRTX-849|MRTX849	X inhibitor	14/39	aacr-2023|aacr-2024|asco-2023
MS-275	entinostat	HDAC	nostat	inn(code)	ctgov	medium	1	10.1200/jco.2023.41.16_suppl.e17620	NCT00750698	MS-275	X inhibitor	8/8	asco-2023
NTPX-07	bioplatin		platin	inn(code)	none	unsupported	1	10.1158/1538-7445.am2023-ct169		NTPX-07		0/0	aacr-2023
ODM-201	darolutamide	AR	lutamide	inn(code)	ctgov+trial	high	1	10.1200/jco.2024.42.4_suppl.tps349	NCT02200614;NCT02799602;NCT04237584	ODM-201	X inhibitor	3/6	asco-2024
ONO-7475	tamnorzatinib		tinib	inn(code)	none	unsupported	1	10.1158/1538-7445.am2024-ct062		ONO-7475		0/0	aacr-2024
OP-1250	palazestrant	ER	estrant	inn(code)	ctgov+repeat+trial	high	2	10.1200/jco.2024.42.16_suppl.tps1135;10.1200/jco.2024.42.23_suppl.tps22	NCT05266105;NCT05508906;NCT06016738	OP-1250	X inhibitor	2/2	asco-2024
ORY-1001	iadademstat	LSD1	demstat	inn(code)	ctgov	medium	1	10.1200/jco.2023.41.16_suppl.tps7075	NCT06661915	ORY-1001	X inhibitor	1/1	asco-2023
OXC-101	karonudib	MTH1	ib	code(inn)	repeat	medium	3	10.1158/1538-7445.am2023-1569;10.1158/1538-7445.am2023-6204;10.1158/1538-7445.am2023-ct182		OXC-101	X inhibitor+targeting X	7/7	aacr-2023
PARTS-1B	fulvestrant	ER	estrant	inn(code)	none	unsupported	1	10.1200/jco.2023.41.16_suppl.3009		PARTS-1B	X inhibitor	8/14	asco-2023
PCLX-001	zelenirstat	NMT	stat	inn(code)	ctgov+trial	high	1	10.1158/1538-7445.am2024-ct194	NCT06613217	PCLX-001	X inhibitor	4/8	aacr-2024
PIC-50	oxaliplatin	VEGF	platin	inn(code)	none	unsupported	1	10.1200/jco.2023.41.16_suppl.e16337		PIC-50	X inhibitor+anti-X	4/18	asco-2023
PLB1001	vebreltinib	MET	tinib	inn(code)	cooc+ctgov	high	1	10.1200/jco.2024.42.16_suppl.8557	NCT06970782	PLB1001	X inhibitor	1/1	asco-2024
