primary	aliases	query_terms	n_approvals	first_approval	last_approval	codes	code_sources	codes_validated	n_studies	fih_date	fih_nct	fih_phase	fih_in_title	fih_via	fih_sponsor	inn_only_fih_date	inn_only_nct	months_gained_by_code	fih_title_only_date	fih_no_platform_filter_date	fih_corpus_internal_date	confidence	external_only_codes
inavolisib	inavolisib|itovebi	inavolisib|itovebi	1	2024-10-10	2024-10-10	GDC-0077|RG6114|RO7113755	GDC-0077:ctgov:strong|RG6114:ctgov:strong|RO7113755:ctgov:strong	GDC-0077|RG6114|RO7113755	32	2016-12-13	NCT03006172	PHASE1	1	inn	Genentech, Inc.	2016-12-13	NCT03006172	0	2016-12-13	2016-12-13	2016-12-13	high	GDC-0077|RG6114|RO7113755
zolbetuximab-clzb	zolbetuximab	zolbetuximab	1	2024-10-18	2024-10-18	IMAB362	IMAB362:conf+ctgov:strong	IMAB362	19	2010-09-03	NCT01197885	PHASE2	1	code	Ganymed Pharmaceuticals GmbH	2012-07-19	NCT01630083	22	2010-09-03	2010-09-03	2010-09-03	low	
asciminib	asciminib|scemblix	asciminib|scemblix	1	2024-10-29	2024-10-29	ABL-001|ABL001	ABL-001:ctgov:strong|ABL001:ctgov:strong	ABL-001|ABL001	38	2014-04-24	NCT02081378	PHASE1	1	inn	Novartis Pharmaceuticals	2014-04-24	NCT02081378	0	2014-04-24	2014-04-24	2014-04-24	high	ABL-001|ABL001
obecabtagene autoleucel	aucatzyl|obecabtagene autoleucel	aucatzyl|obecabtagene autoleucel	1	2024-11-08	2024-11-08	AUTO1	AUTO1:conf+ctgov:strong	AUTO1	7	2020-06-03	NCT04404660	PHASE1;PHASE2	1	inn	Autolus Limited	2020-06-03	NCT04404660	0	2020-06-03	2020-06-03	2020-06-03	high	
revumenib	revuforj|revumenib	revuforj|revumenib	2	2024-11-15	2025-10-24	SNDX-5613|SNDX5613	SNDX-5613:conf+ctgov+ctloc:strong|SNDX5613:ctgov:strong	SNDX-5613|SNDX5613	26	2019-11-05	NCT04065399	PHASE1;PHASE2	1	inn	Syndax Pharmaceuticals	2019-11-05	NCT04065399	0	2019-11-05	2016-11	2019-11-05	high	SNDX5613
fludarabine phosphate	fludarabine|fludarabine phosphate|fludarabine phosphate injection	fludarabine	1	2024-11-19	2024-11-19				323	1994-01	NCT00140569	PHASE3	0	inn	Lymphoma Study Association	1994-01	NCT00140569	0	1995-06	1994-01	1994-01	low	
zanidatamab-hrii	zanidatamab|ziihera	zanidatamab|ziihera	2	2024-11-20	2026-08-25	JZP598|ZW25	JZP598:ctgov:strong|ZW25:ctgov:strong	JZP598|ZW25	32	2016-09-30	NCT02892123	PHASE1	1	inn	Jazz Pharmaceuticals	2016-09-30	NCT02892123	0	2016-09-30	2010-03-01	2016-09-30	high	JZP598|ZW25
zenocutuzumab-zbco	bizengri|zenocutuzumab	bizengri|zenocutuzumab	2	2024-12-04	2026-05-08	MCLA-128	MCLA-128:conf+ctgov:strong	MCLA-128	3	2015-01	NCT02912949	PHASE2	1	inn	Partner Therapeutics, Inc.	2015-01	NCT02912949	0	2015-01	2015-01	2015-01	low	
cosibelimab-ipdl	cosibelimab|unloxcyt	cosibelimab|unloxcyt	1	2024-12-13	2024-12-13	CK-301|TG-1501	CK-301:ctgov:strong|TG-1501:ctgov:strong	CK-301|TG-1501	6	2015-09-18	NCT02535286	PHASE1	0	code	TG Therapeutics, Inc.	2017-09-20	NCT03212404	24	2017-09-20	2015-09-18	2017-09-20	medium	CK-301|TG-1501
remestemcel-L-rknd	remestemcel|remestemcel l|ryoncil	remestemcel|ryoncil	1	2024-12-18	2024-12-18				10	2005-04-27	NCT00136903	PHASE2	0	inn	Mesoblast, Inc.	2005-04-27	NCT00136903	0	2010-11-29	2005-04-27	2005-04-27	low	
