primary	aliases	query_terms	n_approvals	first_approval	last_approval	codes	code_sources	codes_validated	n_studies	fih_date	fih_nct	fih_phase	fih_in_title	fih_via	fih_sponsor	inn_only_fih_date	inn_only_nct	months_gained_by_code	fih_title_only_date	fih_no_platform_filter_date	fih_corpus_internal_date	confidence	external_only_codes
zanubrutinib	brukinsa|zanubrutinib	brukinsa|zanubrutinib	2	2023-01-19	2024-03-07	BDB-3111|BGB-3111|BGB3111	BDB-3111:ctgov:strong|BGB-3111:ctgov+ctloc:strong|BGB3111:ctgov:strong	BDB-3111|BGB-3111|BGB3111	196	2014-09-04	NCT02343120	PHASE1;PHASE2	1	inn	BeiGene	2014-09-04	NCT02343120	0	2014-09-04	2014-09-04	2014-09-04	high	BDB-3111|BGB3111
tucatinib	tucatinib|tukysa	tucatinib|tukysa	1	2023-01-19	2023-01-19	ARRY-380|MK-7119|ONT-380	ARRY-380:ctgov:strong|MK-7119:ctgov:strong|ONT-380:ctgov+ctloc:strong	ARRY-380|MK-7119|ONT-380	66	2008-05	NCT00650572	PHASE1	1	code	Seagen Inc.	2013-12-31	NCT02025192	67	2008-05	2008-05	2013-12-31	high	ARRY-380|MK-7119
pembrolizumab	keytruda|pembrolizumab	keytruda|pembrolizumab	14	2023-01-26	2026-07-10	BCD-201|BYL-719|GME-751|GME751|HLX17|MK-1308A|MK-3475|MK-3475A|MK-4280A|MK-7684A|MK3475|MK4280A|QL2107|RPH-075|RPH075|SB-27|SB27|SCH-9000475|SCH-900475|SCH900475|SGN-35	BCD-201:ctgov:strong|BYL-719:ctgov:strong|GME-751:ctgov:strong|GME751:ctgov:strong|HLX17:ctgov:strong|MK-1308A:ctgov:strong|MK-3475:conf+ctgov+ctloc:strong|MK-3475A:ctgov:strong|MK-4280A:ctgov+ctloc:strong|MK-7684A:conf+ctgov:strong|MK3475:ctgov:strong|MK4280A:conf:strong|QL2107:ctgov:strong|RPH-075:ctgov:strong|RPH075:ctgov:strong|SB-27:ctgov:strong|SB27:ctgov:strong|SCH-9000475:ctgov:strong|SCH-900475:ctgov:strong|SCH900475:ctgov:strong|SGN-35:ctgov:conflict	BCD-201|BYL-719|GME-751|GME751|HLX17|MK-1308A|MK-3475|MK-3475A|MK-4280A|MK-7684A|MK3475|MK4280A|QL2107|RPH-075|RPH075|SB-27|SB27|SCH-9000475|SCH-900475|SCH900475	680	2010-08-26	NCT01174121	PHASE2	1	inn	National Cancer Institute (NCI)	2010-08-26	NCT01174121	0	2010-08-26	2010-03-01	2010-08-26	low	BCD-201|BYL-719|GME-751|GME751|HLX17|MK-1308A|MK-3475A|MK3475|QL2107|RPH-075|RPH075|SB-27|SB27|SCH-9000475|SCH-900475|SCH900475
elacestrant	elacestrant|orserdu	elacestrant|orserdu	1	2023-01-27	2023-01-27	ASYM-122762|ER-306323	ASYM-122762:ctgov:strong|ER-306323:ctgov:strong	ASYM-122762|ER-306323	38	2015-01	NCT02338349	PHASE1	0	inn	Stemline Therapeutics, Inc.	2015-01	NCT02338349	0	2019-05-10	2015-01	2015-01	medium	ASYM-122762|ER-306323
pirtobrutinib	jaypirca|pirtobrutinib	jaypirca|pirtobrutinib	3	2023-01-27	2025-12-03	LOXO-305|LOXO305|LY3527727	LOXO-305:conf+ctgov+ctloc:strong|LOXO305:ctgov:strong|LY3527727:ctgov+ctloc:strong	LOXO-305|LOXO305|LY3527727	72	2019-03-15	NCT03740529	PHASE1;PHASE2	1	inn	Loxo Oncology, Inc.	2019-03-15	NCT03740529	0	2019-03-15	2019-03-15	2019-03-15	high	LOXO305
sacituzumab govitecan-hziy	sacituzumab govitecan|trodelvy	sacituzumab govitecan|trodelvy	2	2023-02-03	2026-06-24	AB122|GS-0132|IMMU-132|IMMU132|RO7445735|RS7SN38	AB122:ctgov:strong|GS-0132:ctgov:strong|IMMU-132:conf+ctgov+ctloc:strong|IMMU132:ctgov:strong|RO7445735:ctgov:strong|RS7SN38:ctgov:strong	AB122|GS-0132|IMMU-132|IMMU132|RO7445735|RS7SN38	164	2012-12-17	NCT01631552	PHASE1;PHASE2	1	inn	Gilead Sciences	2012-12-17	NCT01631552	0	2012-12-17	2012-12-17	2012-12-17	high	AB122|GS-0132|IMMU132|RO7445735|RS7SN38
dostarlimab-gxly	dostarlimab|jemperli	dostarlimab|jemperli	3	2023-02-09	2024-08-01	ANB011|GSK4057190|GSK4057190A|TSR-042|TSR042|WBP-285	ANB011:ctgov:strong|GSK4057190:ctgov+ctloc:strong|GSK4057190A:ctgov:strong|TSR-042:conf+ctgov:strong|TSR042:ctgov:strong|WBP-285:ctgov:strong	ANB011|GSK4057190|GSK4057190A|TSR-042|TSR042|WBP-285	99	2016-03-07	NCT02715284	PHASE1	1	inn	Tesaro, Inc.	2016-03-07	NCT02715284	0	2016-03-07	2010-03-01	2016-03-07	high	ANB011|GSK4057190A|TSR042|WBP-285
abemaciclib	abemaciclib|verzenio	abemaciclib|verzenio	1	2023-03-03	2023-03-03	LY-2835219|LY2835219|RO7071651|VERU-024	LY-2835219:ctgov:strong|LY2835219:ctgov:strong|RO7071651:ctgov:strong|VERU-024:ctgov:strong	LY-2835219|LY2835219|RO7071651|VERU-024	228	2009-12-07	NCT01394016	PHASE1	1	inn	Eli Lilly and Company	2009-12-07	NCT01394016	0	2009-12-07	2009-12-07	2009-12-07	high	LY-2835219|LY2835219|RO7071651|VERU-024
dabrafenib	dabrafenib|tafinlar	dabrafenib|tafinlar	1	2023-03-16	2023-03-16	DRB436|GSK-2118436|GSK-2118436A|GSK2118436|GSK2118436A|GSK2118436B|NSC-763760	DRB436:ctgov:strong|GSK-2118436:ctgov:strong|GSK-2118436A:ctgov:strong|GSK2118436:ctgov:strong|GSK2118436A:ctgov:strong|GSK2118436B:ctgov:strong|NSC-763760:ctgov:strong	DRB436|GSK-2118436|GSK-2118436A|GSK2118436|GSK2118436A|GSK2118436B|NSC-763760	146	2009-06-04	NCT00880321	PHASE1	1	code	GlaxoSmithKline	2011-02	NCT01266967	20	2009-06-04	2009-06-04	2011-02	high	DRB436|GSK-2118436|GSK-2118436A|GSK2118436|GSK2118436A|GSK2118436B|NSC-763760
retifanlimab-dlwr	retifanlimab	retifanlimab	2	2023-03-22	2025-05-15	INCMGA-00012|INCMGA-0012|INCMGA00012|INCMGA0012|MGA-012|MGA012	INCMGA-00012:ctgov:strong|INCMGA-0012:ctgov:strong|INCMGA00012:conf+ctgov:strong|INCMGA0012:ctgov:strong|MGA-012:ctgov:strong|MGA012:ctgov:strong	INCMGA-00012|INCMGA-0012|INCMGA00012|INCMGA0012|MGA-012|MGA012	69	2015-02-27	NCT02393248	PHASE1;PHASE2	0	inn	Incyte Corporation	2015-02-27	NCT02393248	0	2015-07	2015-02-27	2015-02-27	medium	INCMGA-00012|INCMGA-0012|INCMGA0012|MGA-012|MGA012
enfortumab vedotin-ejfv	enfortumab|enfortumab vedotin|padcev	enfortumab|padcev	2	2023-04-03	2023-12-15	AGS-22ME|ASG-22CE|ASG-22ME|ASG22CE|ASP7465	AGS-22ME:ctgov:strong|ASG-22CE:ctgov:strong|ASG-22ME:ctgov:strong|ASG22CE:ctgov:strong|ASP7465:ctgov:strong	AGS-22ME|ASG-22CE|ASG-22ME|ASG22CE|ASP7465	74	2011-07-11	NCT01409135	PHASE1	1	code	Astellas Pharma Inc	2014-05-14	NCT02091999	34	2011-07-11	2011-07-11	2014-05-14	high	AGS-22ME|ASG-22CE|ASG-22ME|ASG22CE|ASP7465
omidubicel-onlv	omidubicel|omisirge	omidubicel|omisirge	1	2023-04-17	2023-04-17				3	2016-12-16	NCT02730299	PHASE3	1	inn	Gamida Cell ltd	2016-12-16	NCT02730299	0	2016-12-16	2016-12-16	2016-12-16	low	
polatuzumab vedotin-piiq	polatuzumab|polatuzumab vedotin|polivy	polatuzumab|polivy	1	2023-04-19	2023-04-19	DCDS4501A|DCDS4501S|FCU-2711|FCU2711|RG-7596|RG7596|RO5541077	DCDS4501A:ctgov:strong|DCDS4501S:ctgov:strong|FCU-2711:ctgov:strong|FCU2711:ctgov:strong|RG-7596:ctgov:strong|RG7596:ctgov:strong|RO5541077:ctgov:strong	DCDS4501A|DCDS4501S|FCU-2711|FCU2711|RG-7596|RG7596|RO5541077	89	2011-03-22	NCT01290549	PHASE1	1	inn	Genentech, Inc.	2011-03-22	NCT01290549	0	2011-03-22	2011-03-22	2011-03-22	high	DCDS4501A|DCDS4501S|FCU-2711|FCU2711|RG-7596|RG7596|RO5541077
epcoritamab-bysp	epcoritamab|epkinly	epcoritamab|epkinly	3	2023-05-19	2025-11-18	GEN-3013|GEN3013	GEN-3013:ctgov:strong|GEN3013:conf+ctgov:strong	GEN-3013|GEN3013	57	2018-06-26	NCT03625037	PHASE1;PHASE2	1	inn	Genmab	2018-06-26	NCT03625037	0	2018-06-26	2018-06-26	2018-06-26	high	GEN-3013
olaparib	lynparza|olaparib	lynparza|olaparib	1	2023-05-31	2023-05-31	AZD-2281|AZD2281|DWC202510|DWZ2501|KU-0059436|KU-0059736|KU0059436|MEDI4736|MK-7339|NSC-747856	AZD-2281:ctgov:strong|AZD2281:conf+ctgov+ctloc:strong|DWC202510:ctloc:strong|DWZ2501:ctloc:strong|KU-0059436:ctgov:strong|KU-0059736:ctgov:strong|KU0059436:ctgov:strong|MEDI4736:ctgov:conflict|MK-7339:ctgov:strong|NSC-747856:ctgov:strong	AZD-2281|AZD2281|DWC202510|DWZ2501|KU-0059436|KU-0059736|KU0059436|MK-7339|NSC-747856	327	2005-07-11	NCT00516373	PHASE1	1	inn	AstraZeneca	2005-07-11	NCT00516373	0	2005-07-11	2005-07-11	2005-07-11	high	AZD-2281|KU-0059436|KU-0059736|KU0059436|MK-7339|NSC-747856
glofitamab-gxbm	columvi|glofitamab	columvi|glofitamab	1	2023-06-15	2023-06-15	RG6026|RO-7082859|RO7082859	RG6026:ctgov:strong|RO-7082859:ctgov:strong|RO7082859:ctgov:strong	RG6026|RO-7082859|RO7082859	84	2017-02-21	NCT03075696	PHASE1;PHASE2	1	inn	Hoffmann-La Roche	2017-02-21	NCT03075696	0	2017-02-21	2017-02-21	2017-02-21	high	RG6026|RO-7082859|RO7082859
talazoparib	talazoparib|talzenna	talazoparib|talzenna	1	2023-06-20	2023-06-20	BMN-673|BMN673|MDV3800	BMN-673:conf+ctgov:strong|BMN673:ctgov:strong|MDV3800:ctgov:strong	BMN-673|BMN673|MDV3800	107	2011-01-03	NCT01286987	PHASE1	1	inn	Pfizer	2011-01-03	NCT01286987	0	2011-01-03	2010-03-01	2011-01-03	high	BMN673|MDV3800
quizartinib	quizartinib|vanflyta	quizartinib|vanflyta	1	2023-07-20	2023-07-20	ASP2689	ASP2689:ctgov:strong	ASP2689	38	2007-01	NCT00462761	PHASE1	0	inn	Daiichi Sankyo	2007-01	NCT00462761	0	2011-10	2007-01	2007-01	medium	ASP2689
trifluridine and tipiracil	lonsurf|tipiracil|trifluridine|trifluridine and|trifluridine and tipiracil	lonsurf|tipiracil|trifluridine	1	2023-08-02	2023-08-02	TAS-102|TAS102	TAS-102:conf+ctgov+ctloc:strong|TAS102:ctgov:strong	TAS-102|TAS102	181	2012-06-17	NCT01607957	PHASE3	1	code	Taiho Oncology, Inc.	2013-05	NCT01867866	11	2012-06-17	2012-06-17	2012-06-17	low	TAS102
talquetamab-tgvs	talquetamab|talvey	talquetamab|talvey	1	2023-08-09	2023-08-09				38	2017-12-16	NCT03399799	PHASE1	1	inn	Janssen Research & Development, LLC	2017-12-16	NCT03399799	0	2017-12-16	2017-12-16	2017-12-16	high	
pralsetinib	gavreto|pralsetinib	gavreto|pralsetinib	1	2023-08-09	2023-08-09	BLU-667|BLU667|RG6396|RO7499790	BLU-667:conf+ctgov:strong|BLU667:conf:strong|RG6396:ctgov:strong|RO7499790:ctgov:strong	BLU-667|BLU667|RG6396|RO7499790	14	2017-03-17	NCT03037385	PHASE1;PHASE2	1	inn	Hoffmann-La Roche	2017-03-17	NCT03037385	0	2017-03-17	2017-03-17	2017-03-17	high	RG6396|RO7499790
niraparib	abiraterone|abiraterone acetate|akeega|niraparib	abiraterone|akeega|niraparib	2	2023-08-11	2025-12-12	BR9004|CB-7598|CB-7630|CB7598|CB7630|GSK3985771|JNJ-212082|JNJ-589485|JNJ21208|MK-4827|MK4827|PRL-02|ZL-2306	BR9004:ctgov:strong|CB-7598:ctgov:strong|CB-7630:ctgov:strong|CB7598:ctgov:strong|CB7630:ctgov:strong|GSK3985771:ctgov:strong|JNJ-212082:ctgov:strong|JNJ-589485:ctgov:strong|JNJ21208:ctgov:strong|MK-4827:ctgov:strong|MK4827:ctgov:strong|PRL-02:conf:strong|ZL-2306:ctgov:strong	BR9004|CB-7598|CB-7630|CB7598|CB7630|GSK3985771|JNJ-212082|JNJ-589485|JNJ21208|MK-4827|MK4827|PRL-02|ZL-2306	479	2005-11	NCT00473512	PHASE1;PHASE2	1	inn	Cougar Biotechnology, Inc.	2005-11	NCT00473512	0	2005-11	2005-07-08	2005-11	high	BR9004|CB-7598|CB-7630|CB7598|CB7630|GSK3985771|JNJ-212082|JNJ-589485|JNJ21208|MK-4827|MK4827|ZL-2306
HEPZATO KIT	hepzato|melphalan	hepzato|melphalan	1	2023-08-14	2023-08-14	CB-3025|NSC-008806|WR-19813	CB-3025:ctgov:strong|NSC-008806:ctgov:strong|WR-19813:ctgov:strong	CB-3025|NSC-008806|WR-19813	322	1984-11	NCT00001193	PHASE2	0	inn	National Cancer Institute (NCI)	1984-11	NCT00001193	0	1992-02	1984-11	1984-11	low	CB-3025|NSC-008806|WR-19813
elranatamab-bcmm	elranatamab|elrexfio	elranatamab|elrexfio	1	2023-08-14	2023-08-14	PF-0686313	PF-0686313:ctgov:strong	PF-0686313	43	2021-02-02	NCT04649359	PHASE2	1	inn	Pfizer	2021-02-02	NCT04649359	0	2021-02-02	2019-08-09	2021-02-02	low	PF-0686313
updated labeling for temozolomide	temodar|temozolomide|updated labeling for temozolomide	temodar|temozolomide	1	2023-09-14	2023-09-14	BDTX-1535|CCRG-81045|NSC-362856|NSC637037|RP-46161|SCH-052365|SCH-52365|SCH52365	BDTX-1535:ctgov:strong|CCRG-81045:ctgov:strong|NSC-362856:ctgov:strong|NSC637037:ctgov:strong|RP-46161:ctgov:strong|SCH-052365:ctgov:strong|SCH-52365:ctgov:strong|SCH52365:ctgov:strong	BDTX-1535|CCRG-81045|NSC-362856|NSC637037|RP-46161|SCH-052365|SCH-52365|SCH52365	547	1997-07	NCT00003062	PHASE2	1	inn	European Organisation for Research and Treatment of Cancer - EORTC	1997-07	NCT00003062	0	1997-07	1997-07	1997-07	low	BDTX-1535|CCRG-81045|NSC-362856|NSC637037|RP-46161|SCH-052365|SCH-52365|SCH52365
bosutinib	bosulif|bosutinib	bosulif|bosutinib	1	2023-09-26	2023-09-26	SKI-606	SKI-606:ctgov:strong	SKI-606	63	2004-10	NCT00195260	PHASE1	1	inn	Pfizer	2004-10	NCT00195260	0	2004-10	2004-10	2004-10	high	SKI-606
encorafenib	braftovi|encorafenib	braftovi|encorafenib	3	2023-10-11	2026-02-24	LGX-818|LGX818|ONO-7702	LGX-818:ctgov:strong|LGX818:ctgov:strong|ONO-7702:ctgov:strong	LGX-818|LGX818|ONO-7702	84	2011-09-05	NCT01436656	PHASE1	1	code	Pfizer	2013-07	NCT01777776	22	2011-09-05	2011-09-05	2013-07	high	LGX-818|LGX818|ONO-7702
nivolumab	nivolumab|opdivo	nivolumab|opdivo	7	2023-10-13	2026-03-20	ABP-206|BCD-263|BMS-936558|BMS-986213|BMS-986298|BMS936558|CMAB819|MDX-1106|MDX1106|MR2|NSC-748726|ONO-4538|ONO4538	ABP-206:ctgov:strong|BCD-263:ctgov:strong|BMS-936558:ctgov:strong|BMS-986213:ctgov:strong|BMS-986298:ctgov:strong|BMS936558:ctgov:strong|CMAB819:ctgov:strong|MDX-1106:ctgov:strong|MDX1106:ctgov:strong|MR2:ctgov:strong|NSC-748726:ctgov:strong|ONO-4538:ctgov:strong|ONO4538:ctgov:strong	ABP-206|BCD-263|BMS-936558|BMS-986213|BMS-986298|BMS936558|CMAB819|MDX-1106|MDX1106|MR2|NSC-748726|ONO-4538|ONO4538	609	2006-08	NCT00441337	PHASE1	1	inn	Bristol-Myers Squibb	2006-08	NCT00441337	0	2006-08	2006-08	2006-08	high	ABP-206|BCD-263|BMS-936558|BMS-986213|BMS-986298|BMS936558|CMAB819|MDX-1106|MDX1106|MR2|NSC-748726|ONO-4538|ONO4538
entrectinib	entrectinib|rozlytrek	entrectinib|rozlytrek	1	2023-10-20	2023-10-20	RG6268|RO7102122|RXDX-101|RXDX101	RG6268:ctgov:strong|RO7102122:ctgov:strong|RXDX-101:ctgov:strong|RXDX101:ctgov:strong	RG6268|RO7102122|RXDX-101|RXDX101	35	2014-07-28	NCT02097810	PHASE1	1	inn	Hoffmann-La Roche	2014-07-28	NCT02097810	0	2014-07-28	2014-07-28	2014-07-28	high	RG6268|RO7102122|RXDX-101|RXDX101
ivosidenib	ivosidenib|tibsovo	ivosidenib|tibsovo	1	2023-10-24	2023-10-24	AG-120|AG120|AK112	AG-120:conf+ctgov:strong|AG120:ctgov:strong|AK112:ctgov+ctloc:strong	AG-120|AG120|AK112	162	2014-03-01	NCT02074839	PHASE1	1	code	Institut de Recherches Internationales Servier	2017-02-20	NCT02989857	35	2014-03-01	2010-03-01	2014-03-01	high	AG120
toripalimab-tpzi	loqtorz|toripalimab	loqtorz|toripalimab	1	2023-10-27	2023-10-27	BMS-936558|CHS-007|JS-001|JS001|MDX1106|QL1706|SO-001|TAB-001|TAB001	BMS-936558:ctgov:rejected|CHS-007:ctgov:strong|JS-001:ctgov:strong|JS001:ctgov+ctloc:strong|MDX1106:ctgov:rejected|QL1706:ctgov+ctloc:strong|SO-001:ctgov:strong|TAB-001:ctgov:strong|TAB001:ctgov:strong	CHS-007|JS-001|JS001|QL1706|SO-001|TAB-001|TAB001	526	2016-03	NCT02857166	PHASE1	1	inn	Shanghai Junshi Bioscience Co., Ltd.	2016-03	NCT02857166	0	2016-03	2016-03	2016-03	high	CHS-007|JS-001|SO-001|TAB-001|TAB001
fruquintinib	fruquintinib|fruzaqla	fruquintinib|fruzaqla	1	2023-11-08	2023-11-08	CVL218|HLX10|HMP-013|HMPL-013	CVL218:ctgov:strong|HLX10:ctgov:strong|HMP-013:ctgov:strong|HMPL-013:ctgov:strong	CVL218|HLX10|HMP-013|HMPL-013	225	2011-01	NCT01645215	PHASE1	1	inn	Hutchison Medipharma Limited	2011-01	NCT01645215	0	2011-01	2011-01	2011-01	high	CVL218|HLX10|HMP-013|HMPL-013
repotrectinib	augtyro|repotrectinib	augtyro|repotrectinib	2	2023-11-15	2024-06-13	BMS-986472|TPX-0005	BMS-986472:ctgov:strong|TPX-0005:ctgov+ctloc:strong	BMS-986472|TPX-0005	14	2017-03-07	NCT03093116	PHASE1;PHASE2	1	inn	Turning Point Therapeutics, Inc.	2017-03-07	NCT03093116	0	2017-03-07	2017-03-07	2017-03-07	high	BMS-986472
enzalutamide	enzalutamide|xtandi	enzalutamide|xtandi	1	2023-11-16	2023-11-16	ANZUP-1901|ASP-9785|ASP9785|MDV-3100|MDV3100	ANZUP-1901:ctgov:strong|ASP-9785:ctgov:strong|ASP9785:ctgov:strong|MDV-3100:ctgov:strong|MDV3100:ctgov:strong	ANZUP-1901|ASP-9785|ASP9785|MDV-3100|MDV3100	295	2007-07-23	NCT00510718	PHASE1	1	inn	Pfizer	2007-07-23	NCT00510718	0	2007-07-23	2005-07-08	2007-07-23	high	ANZUP-1901|ASP-9785|ASP9785|MDV-3100|MDV3100
capivasertib	capivasertib|truqap	capivasertib|truqap	2	2023-11-16	2026-06-12	AZD-5363|AZD5363	AZD-5363:ctgov:strong|AZD5363:conf+ctgov:strong	AZD-5363|AZD5363	63	2010-12-01	NCT01226316	PHASE1	1	code	AstraZeneca	2014-05-14	NCT02423603	41	2010-12-01	2010-12-01	2010-12-01	high	AZD-5363
nirogacestat	nirogacestat|ogsiveo	nirogacestat|ogsiveo	1	2023-11-27	2023-11-27				21	2019-04-17	NCT03785964	PHASE3	1	inn	SpringWorks Therapeutics, Inc., a healthcare company of Merck KGaA, Darmstadt, Germany	2019-04-17	NCT03785964	0	2019-04-17	2019-04-17	2019-04-17	low	
eflornithine	eflornithine|iwilfin	eflornithine|iwilfin	1	2023-12-13	2023-12-13	CPP-1X|MDL-71782|MDL71782|RMI-71782|RMI71782	CPP-1X:ctgov:strong|MDL-71782:ctgov:strong|MDL71782:ctgov:strong|RMI-71782:ctgov:strong|RMI71782:ctgov:strong	CPP-1X|MDL-71782|MDL71782|RMI-71782|RMI71782	43	1995-10	NCT00003076	PHASE2	1	inn	University of Michigan Rogel Cancer Center	1995-10	NCT00003076	0	1995-10	1995-10	1995-10	low	CPP-1X|MDL-71782|MDL71782|RMI-71782|RMI71782
belzutifan	belzutifan|welireg	belzutifan|welireg	3	2023-12-14	2026-06-12	MK-6482|PT2977	MK-6482:conf+ctgov+ctloc:strong|PT2977:ctgov:strong	MK-6482|PT2977	39	2014-11-25	NCT02293980	PHASE1	0	code	Peloton Therapeutics, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)	2016-12-07	NCT02974738	25	2016-12-07	2014-11-25	2014-11-25	medium	PT2977
erdafitinib	balversa|erdafitinib	balversa|erdafitinib	1	2024-01-19	2024-01-19				34	2015-04-22	NCT02365597	PHASE2	1	inn	Janssen Research & Development, LLC	2015-04-22	NCT02365597	0	2015-04-22	2015-04-22	2015-04-22	low	
irinotecan liposome	irinotecan liposome|onivyde	irinotecan liposome|onivyde	1	2024-02-13	2024-02-13	BAX2398|IHL-305|MM-398|PEP02	BAX2398:ctgov:strong|IHL-305:ctgov:strong|MM-398:ctgov:strong|PEP02:ctgov:strong	BAX2398|IHL-305|MM-398|PEP02	112	1998-09-09	NCT00062842	PHASE1	0	inn	Baylor College of Medicine	1998-09-09	NCT00062842	0	2006-01	1998-09-09	1998-09-09	medium	BAX2398|IHL-305|MM-398|PEP02
tepotinib	tepmetko|tepotinib	tepmetko|tepotinib	1	2024-02-15	2024-02-15	EMD-1214063|EMD1214063|MSC-2156119|MSC-2156119J|MSC2156119|MSC2156119J	EMD-1214063:ctgov:strong|EMD1214063:ctgov:strong|MSC-2156119:ctgov:strong|MSC-2156119J:ctgov:strong|MSC2156119:ctgov:strong|MSC2156119J:ctgov:strong	EMD-1214063|EMD1214063|MSC-2156119|MSC-2156119J|MSC2156119|MSC2156119J	30	2009-11-30	NCT01014936	PHASE1	1	inn	EMD Serono	2009-11-30	NCT01014936	0	2009-11-30	2009-11-30	2009-11-30	high	EMD-1214063|EMD1214063|MSC-2156119|MSC-2156119J|MSC2156119|MSC2156119J
osimertinib	osimertinib|tagrisso	osimertinib|tagrisso	2	2024-02-16	2024-09-25	AZD-9291|AZD9291|JMT101|TAGRISSO-80MG|TOP-1901	AZD-9291:ctgov:strong|AZD9291:conf+ctgov:strong|JMT101:ctgov:strong|TAGRISSO-80MG:ctgov:rejected|TOP-1901:ctgov:strong	AZD-9291|AZD9291|JMT101|TOP-1901	258	2013-03-04	NCT01802632	PHASE1;PHASE2	1	code	AstraZeneca	2014-01-15	NCT02099058	10	2013-03-04	2013-03-04	2013-03-04	high	AZD-9291|JMT101|TOP-1901
lifileucel	amtagvi|lifileucel	amtagvi|lifileucel	1	2024-02-16	2024-02-16	LN-144|LN-145	LN-144:conf+ctgov:strong|LN-145:ctgov:strong	LN-144|LN-145	22	2015-09-24	NCT02360579	PHASE2	1	inn	Iovance Biotherapeutics, Inc.	2015-09-24	NCT02360579	0	2015-09-24	2015-09-24	2015-09-24	low	LN-145
amivantamab-vmjw	amivantamab|rybrevant	amivantamab|rybrevant	3	2024-03-01	2025-12-17	CNTO-4424|JNJ-372|JNJ-611|JNJ6372	CNTO-4424:ctgov:strong|JNJ-372:ctgov:strong|JNJ-611:ctgov:strong|JNJ6372:conf:rejected	CNTO-4424|JNJ-372|JNJ-611	44	2016-05-24	NCT02609776	PHASE1	1	inn	Janssen Research & Development, LLC	2016-05-24	NCT02609776	0	2016-05-24	2016-05-24	2016-05-24	high	CNTO-4424|JNJ-372|JNJ-611
inotuzumab ozogamicin	besponsa|inotuzumab ozogamicin	besponsa|inotuzumab ozogamicin	1	2024-03-06	2024-03-06	CMC-544|CMC544|NSC-772518|WAY-207294	CMC-544:ctgov:strong|CMC544:ctgov:strong|NSC-772518:ctgov:strong|WAY-207294:ctgov:strong	CMC-544|CMC544|NSC-772518|WAY-207294	61	2003-08	NCT00073749	PHASE1	1	inn	Pfizer	2003-08	NCT00073749	0	2003-08	2003-08	2003-08	high	CMC-544|CMC544|NSC-772518|WAY-207294
ponatinib	iclusig|ponatinib	iclusig|ponatinib	1	2024-03-19	2024-03-19	AP-24534|AP24534	AP-24534:ctgov:strong|AP24534:ctgov:strong	AP-24534|AP24534	60	2008-06	NCT00660920	PHASE1	1	inn	Ariad Pharmaceuticals	2008-06	NCT00660920	0	2008-06	2008-06	2008-06	high	AP-24534|AP24534
fluorouracil	fluorouracil	fluorouracil	1	2024-03-21	2024-03-21	NSC-19893	NSC-19893:ctgov:strong	NSC-19893	261	1977-09	NCT00427570	PHASE3	1	inn	NSABP Foundation Inc	1977-09	NCT00427570	0	1977-09	1977-09	1977-09	low	NSC-19893
